market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity,weapon,collection,rarity,float_min,float_max,tradeup_to
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,Battle-Scarred,25.35,32.5,43.67,18,AK-47,The Falchion Collection,Covert,0.0,1.0,
FAMAS | Cyanospatter (Well-Worn),FAMAS | Cyanospatter,Well-Worn,0.07,0.08,0.43,30,FAMAS,The Lake Collection,Industrial Grade,0.06,0.8,Mil-Spec
FAMAS | Dark Water (Field-Tested),FAMAS | Dark Water,Field-Tested,13.06,13.62,17.54,12,FAMAS,The Ancient Collection,Mil-Spec Grade,0.1,0.26,
FAMAS | Dark Water (Minimal Wear),FAMAS | Dark Water,Minimal Wear,12.0,13.8,20.86,13,FAMAS,The Ancient Collection,Mil-Spec Grade,0.1,0.26,
FAMAS | Decommissioned (Battle-Scarred),FAMAS | Decommissioned,Battle-Scarred,0.14,0.23,0.62,41,FAMAS,The CS20 Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Decommissioned (Factory New),FAMAS | Decommissioned,Factory New,0.9,0.64,3.56,38,FAMAS,The CS20 Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Decommissioned (Field-Tested),FAMAS | Decommissioned,Field-Tested,0.22,0.31,0.41,77,FAMAS,The CS20 Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Decommissioned (Minimal Wear),FAMAS | Decommissioned,Minimal Wear,0.19,0.26,1.11,37,FAMAS,The CS20 Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Decommissioned (Well-Worn),FAMAS | Decommissioned,Well-Worn,0.19,0.27,1.68,68,FAMAS,The CS20 Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Djinn (Battle-Scarred),FAMAS | Djinn,Battle-Scarred,1.43,1.91,2.85,12,FAMAS,The Chroma 2 Collection,Classified,0.0,1.0,Covert
FAMAS | Djinn (Factory New),FAMAS | Djinn,Factory New,17.23,15.45,33.98,5,FAMAS,The Chroma 2 Collection,Classified,0.0,1.0,Covert
FAMAS | Djinn (Field-Tested),FAMAS | Djinn,Field-Tested,2.9,2.27,6.14,44,FAMAS,The Chroma 2 Collection,Classified,0.0,1.0,Covert
FAMAS | Djinn (Minimal Wear),FAMAS | Djinn,Minimal Wear,5.7,6.38,14.76,19,FAMAS,The Chroma 2 Collection,Classified,0.0,1.0,Covert
FAMAS | Djinn (Well-Worn),FAMAS | Djinn,Well-Worn,1.81,2.22,4.42,15,FAMAS,The Chroma 2 Collection,Classified,0.0,1.0,Covert
FAMAS | Doomkitty (Field-Tested),FAMAS | Doomkitty,Field-Tested,,5.25,,0,FAMAS,The eSports 2013 Collection,Mil-Spec Grade,0.08,0.22,
FAMAS | Doomkitty (Minimal Wear),FAMAS | Doomkitty,Minimal Wear,3.31,3.8,37.27,17,FAMAS,The eSports 2013 Collection,Mil-Spec Grade,0.08,0.22,
FAMAS | Eye of Athena (Battle-Scarred),FAMAS | Eye of Athena,Battle-Scarred,2.89,3.54,10.56,13,FAMAS,The Horizon Collection,Classified,0.0,0.7,Covert
FAMAS | Eye of Athena (Factory New),FAMAS | Eye of Athena,Factory New,17.61,18.81,26.23,15,FAMAS,The Horizon Collection,Classified,0.0,0.7,Covert
FAMAS | Eye of Athena (Field-Tested),FAMAS | Eye of Athena,Field-Tested,4.13,4.87,8.28,56,FAMAS,The Horizon Collection,Classified,0.0,0.7,Covert
FAMAS | Eye of Athena (Minimal Wear),FAMAS | Eye of Athena,Minimal Wear,8.48,9.93,11.98,33,FAMAS,The Horizon Collection,Classified,0.0,0.7,Covert
FAMAS | Eye of Athena (Well-Worn),FAMAS | Eye of Athena,Well-Worn,5.0,4.03,5.81,4,FAMAS,The Horizon Collection,Classified,0.0,0.7,Covert
FAMAS | Faulty Wiring (Battle-Scarred),FAMAS | Faulty Wiring,Battle-Scarred,,1.08,,0,FAMAS,The 2021 Vertigo Collection,Consumer Grade,0.0,0.5,
FAMAS | Faulty Wiring (Factory New),FAMAS | Faulty Wiring,Factory New,1.14,0.78,3.51,47,FAMAS,The 2021 Vertigo Collection,Consumer Grade,0.0,0.5,
FAMAS | Faulty Wiring (Field-Tested),FAMAS | Faulty Wiring,Field-Tested,0.47,0.52,0.76,60,FAMAS,The 2021 Vertigo Collection,Consumer Grade,0.0,0.5,
FAMAS | Faulty Wiring (Minimal Wear),FAMAS | Faulty Wiring,Minimal Wear,0.66,0.55,1.63,28,FAMAS,The 2021 Vertigo Collection,Consumer Grade,0.0,0.5,
FAMAS | Faulty Wiring (Well-Worn),FAMAS | Faulty Wiring,Well-Worn,,0.88,,0,FAMAS,The 2021 Vertigo Collection,Consumer Grade,0.0,0.5,
FAMAS | Grey Ghost (Battle-Scarred),FAMAS | Grey Ghost,Battle-Scarred,0.23,0.29,0.26,5,FAMAS,The Radiant Collection,Industrial Grade,0.0,0.637288,Mil-Spec
FAMAS | Grey Ghost (Factory New),FAMAS | Grey Ghost,Factory New,1.88,0.6,4.23,23,FAMAS,The Radiant Collection,Industrial Grade,0.0,0.637288,Mil-Spec
FAMAS | Grey Ghost (Field-Tested),FAMAS | Grey Ghost,Field-Tested,0.36,0.39,1.29,24,FAMAS,The Radiant Collection,Industrial Grade,0.0,0.637288,Mil-Spec
FAMAS | Grey Ghost (Minimal Wear),FAMAS | Grey Ghost,Minimal Wear,0.37,0.5,1.34,11,FAMAS,The Radiant Collection,Industrial Grade,0.0,0.637288,Mil-Spec
FAMAS | Grey Ghost (Well-Worn),FAMAS | Grey Ghost,Well-Worn,0.25,0.34,0.25,1,FAMAS,The Radiant Collection,Industrial Grade,0.0,0.637288,Mil-Spec
FAMAS | Half Sleeve (Battle-Scarred),FAMAS | Half Sleeve,Battle-Scarred,0.16,0.12,0.5,110,FAMAS,The Sport & Field Collection,Industrial Grade,0.0,1.0,Mil-Spec
FAMAS | Half Sleeve (Factory New),FAMAS | Half Sleeve,Factory New,0.6,0.54,1.93,197,FAMAS,The Sport & Field Collection,Industrial Grade,0.0,1.0,Mil-Spec
FAMAS | Half Sleeve (Field-Tested),FAMAS | Half Sleeve,Field-Tested,0.26,0.16,0.85,145,FAMAS,The Sport & Field Collection,Industrial Grade,0.0,1.0,Mil-Spec
FAMAS | Half Sleeve (Minimal Wear),FAMAS | Half Sleeve,Minimal Wear,0.35,0.2,0.76,164,FAMAS,The Sport & Field Collection,Industrial Grade,0.0,1.0,Mil-Spec
FAMAS | Half Sleeve (Well-Worn),FAMAS | Half Sleeve,Well-Worn,0.08,0.11,0.78,166,FAMAS,The Sport & Field Collection,Industrial Grade,0.0,1.0,Mil-Spec
FAMAS | Halftone Wash (Battle-Scarred),FAMAS | Halftone Wash,Battle-Scarred,0.28,0.13,1.41,10,FAMAS,The Graphic Design Collection,Industrial Grade,0.0,0.5,Mil-Spec
FAMAS | Halftone Wash (Factory New),FAMAS | Halftone Wash,Factory New,0.4,0.38,2.05,141,FAMAS,The Graphic Design Collection,Industrial Grade,0.0,0.5,Mil-Spec
FAMAS | Halftone Wash (Field-Tested),FAMAS | Halftone Wash,Field-Tested,0.21,0.15,0.86,96,FAMAS,The Graphic Design Collection,Industrial Grade,0.0,0.5,Mil-Spec
FAMAS | Halftone Wash (Minimal Wear),FAMAS | Halftone Wash,Minimal Wear,0.19,0.26,0.85,60,FAMAS,The Graphic Design Collection,Industrial Grade,0.0,0.5,Mil-Spec
FAMAS | Halftone Wash (Well-Worn),FAMAS | Halftone Wash,Well-Worn,0.21,0.13,0.44,7,FAMAS,The Graphic Design Collection,Industrial Grade,0.0,0.5,Mil-Spec
FAMAS | Hexane (Factory New),FAMAS | Hexane,Factory New,3.54,3.36,24.36,20,FAMAS,The Arms Deal 2 Collection,Mil-Spec Grade,0.0,0.4,
FAMAS | Hexane (Field-Tested),FAMAS | Hexane,Field-Tested,3.34,2.47,9.72,25,FAMAS,The Arms Deal 2 Collection,Mil-Spec Grade,0.0,0.4,
FAMAS | Hexane (Minimal Wear),FAMAS | Hexane,Minimal Wear,3.75,2.86,14.5,13,FAMAS,The Arms Deal 2 Collection,Mil-Spec Grade,0.0,0.4,
FAMAS | Hexane (Well-Worn),FAMAS | Hexane,Well-Worn,5.06,3.65,5.06,1,FAMAS,The Arms Deal 2 Collection,Mil-Spec Grade,0.0,0.4,
FAMAS | Macabre (Battle-Scarred),FAMAS | Macabre,Battle-Scarred,3.47,2.0,4.02,3,FAMAS,The Operation Hydra Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Macabre (Factory New),FAMAS | Macabre,Factory New,5.11,3.25,10.81,14,FAMAS,The Operation Hydra Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Macabre (Field-Tested),FAMAS | Macabre,Field-Tested,2.09,2.39,4.29,11,FAMAS,The Operation Hydra Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Macabre (Minimal Wear),FAMAS | Macabre,Minimal Wear,2.45,3.07,13.18,7,FAMAS,The Operation Hydra Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Macabre (Well-Worn),FAMAS | Macabre,Well-Worn,,2.67,,0,FAMAS,The Operation Hydra Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Mecha Industries (Battle-Scarred),FAMAS | Mecha Industries,Battle-Scarred,2.8,3.59,10.77,4,FAMAS,The Glove Collection,Classified,0.0,0.5,Covert
FAMAS | Mecha Industries (Factory New),FAMAS | Mecha Industries,Factory New,11.0,12.59,23.54,36,FAMAS,The Glove Collection,Classified,0.0,0.5,Covert
FAMAS | Mecha Industries (Field-Tested),FAMAS | Mecha Industries,Field-Tested,3.48,3.8,6.17,84,FAMAS,The Glove Collection,Classified,0.0,0.5,Covert
FAMAS | Mecha Industries (Minimal Wear),FAMAS | Mecha Industries,Minimal Wear,4.99,5.84,9.67,107,FAMAS,The Glove Collection,Classified,0.0,0.5,Covert
FAMAS | Mecha Industries (Well-Worn),FAMAS | Mecha Industries,Well-Worn,3.7,3.86,32.72,8,FAMAS,The Glove Collection,Classified,0.0,0.5,Covert
FAMAS | Meltdown (Factory New),FAMAS | Meltdown,Factory New,47.25,54.26,68.74,22,FAMAS,The 2021 Train Collection,Classified,0.0,0.4,Covert
FAMAS | Meltdown (Field-Tested),FAMAS | Meltdown,Field-Tested,36.0,43.18,48.38,9,FAMAS,The 2021 Train Collection,Classified,0.0,0.4,Covert
FAMAS | Meltdown (Minimal Wear),FAMAS | Meltdown,Minimal Wear,41.1,49.42,51.89,7,FAMAS,The 2021 Train Collection,Classified,0.0,0.4,Covert
FAMAS | Meltdown (Well-Worn),FAMAS | Meltdown,Well-Worn,70.16,34.98,70.16,1,FAMAS,The 2021 Train Collection,Classified,0.0,0.4,Covert
FAMAS | Meow 36 (Battle-Scarred),FAMAS | Meow 36,Battle-Scarred,0.03,0.04,0.16,635,FAMAS,The Recoil Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Meow 36 (Factory New),FAMAS | Meow 36,Factory New,0.42,0.36,3.02,133,FAMAS,The Recoil Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Meow 36 (Field-Tested),FAMAS | Meow 36,Field-Tested,0.03,0.05,0.17,942,FAMAS,The Recoil Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Meow 36 (Minimal Wear),FAMAS | Meow 36,Minimal Wear,0.07,0.1,0.51,328,FAMAS,The Recoil Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Meow 36 (Well-Worn),FAMAS | Meow 36,Well-Worn,0.02,0.04,0.09,897,FAMAS,The Recoil Collection,Mil-Spec Grade,0.0,1.0,
FAMAS | Neural Net (Battle-Scarred),FAMAS | Neural Net,Battle-Scarred,0.65,0.7,1.28,9,FAMAS,The Falchion Collection,Restricted,0.0,0.6,Classified
FAMAS | Neural Net (Factory New),FAMAS | Neural Net,Factory New,2.19,2.37,38.43,41,FAMAS,The Falchion Collection,Restricted,0.0,0.6,Classified
FAMAS | Neural Net (Field-Tested),FAMAS | Neural Net,Field-Tested,0.58,0.81,1.21,31,FAMAS,The Falchion Collection,Restricted,0.0,0.6,Classified
FAMAS | Neural Net (Minimal Wear),FAMAS | Neural Net,Minimal Wear,1.57,1.24,5.09,15,FAMAS,The Falchion Collection,Restricted,0.0,0.6,Classified
FAMAS | Neural Net (Well-Worn),FAMAS | Neural Net,Well-Worn,2.58,0.77,2.59,2,FAMAS,The Falchion Collection,Restricted,0.0,0.6,Classified
FAMAS | Night Borre (Battle-Scarred),FAMAS | Night Borre,Battle-Scarred,,6.5,,0,FAMAS,The Norse Collection,Consumer Grade,0.0,0.55,
FAMAS | Night Borre (Factory New),FAMAS | Night Borre,Factory New,8.95,8.44,20.44,43,FAMAS,The Norse Collection,Consumer Grade,0.0,0.55,
FAMAS | Night Borre (Field-Tested),FAMAS | Night Borre,Field-Tested,6.46,6.8,17.61,17,FAMAS,The Norse Collection,Consumer Grade,0.0,0.55,
FAMAS | Night Borre (Minimal Wear),FAMAS | Night Borre,Minimal Wear,8.59,7.74,25.46,31,FAMAS,The Norse Collection,Consumer Grade,0.0,0.55,
FAMAS | Night Borre (Well-Worn),FAMAS | Night Borre,Well-Worn,,6.76,,0,FAMAS,The Norse Collection,Consumer Grade,0.0,0.55,
FAMAS | Palm (Battle-Scarred),FAMAS | Palm,Battle-Scarred,0.02,0.03,0.03,4,FAMAS,The Boreal Collection,Consumer Grade,0.0,0.75,
FAMAS | Palm (Factory New),FAMAS | Palm,Factory New,0.17,0.08,1.23,29,FAMAS,The Boreal Collection,Consumer Grade,0.0,0.75,
FAMAS | Palm (Field-Tested),FAMAS | Palm,Field-Tested,0.03,0.04,0.37,41,FAMAS,The Boreal Collection,Consumer Grade,0.0,0.75,
FAMAS | Palm (Minimal Wear),FAMAS | Palm,Minimal Wear,0.08,0.07,0.08,3,FAMAS,The Boreal Collection,Consumer Grade,0.0,0.75,
FAMAS | Palm (Well-Worn),FAMAS | Palm,Well-Worn,,0.03,,0,FAMAS,The Boreal Collection,Consumer Grade,0.0,0.75,
FAMAS | Prime Conspiracy (Battle-Scarred),FAMAS | Prime Conspiracy,Battle-Scarred,,92.11,,0,FAMAS,The Control Collection,Restricted,0.0,0.55,Classified
FAMAS | Prime Conspiracy (Factory New),FAMAS | Prime Conspiracy,Factory New,99.99,121.13,113.31,15,FAMAS,The Control Collection,Restricted,0.0,0.55,Classified
FAMAS | Prime Conspiracy (Field-Tested),FAMAS | Prime Conspiracy,Field-Tested,100.0,104.61,121.58,2,FAMAS,The Control Collection,Restricted,0.0,0.55,Classified
FAMAS | Prime Conspiracy (Minimal Wear),FAMAS | Prime Conspiracy,Minimal Wear,,115.9,,0,FAMAS,The Control Collection,Restricted,0.0,0.55,Classified
FAMAS | Prime Conspiracy (Well-Worn),FAMAS | Prime Conspiracy,Well-Worn,100.0,73.17,100.0,1,FAMAS,The Control Collection,Restricted,0.0,0.55,Classified
FAMAS | Pulse (Factory New),FAMAS | Pulse,Factory New,7.77,8.5,26.71,68,FAMAS,The Winter Offensive Collection,Restricted,0.0,0.4,Classified
FAMAS | Pulse (Field-Tested),FAMAS | Pulse,Field-Tested,5.27,5.93,16.28,11,FAMAS,The Winter Offensive Collection,Restricted,0.0,0.4,Classified
FAMAS | Pulse (Minimal Wear),FAMAS | Pulse,Minimal Wear,5.39,6.91,17.02,31,FAMAS,The Winter Offensive Collection,Restricted,0.0,0.4,Classified
FAMAS | Pulse (Well-Worn),FAMAS | Pulse,Well-Worn,10.89,5.94,10.9,2,FAMAS,The Winter Offensive Collection,Restricted,0.0,0.4,Classified
FAMAS | Rapid Eye Movement (Battle-Scarred),FAMAS | Rapid Eye Movement,Battle-Scarred,0.98,1.1,4.5,65,FAMAS,The Dreams & Nightmares Collection,Classified,0.0,1.0,Covert
FAMAS | Rapid Eye Movement (Factory New),FAMAS | Rapid Eye Movement,Factory New,8.9,10.32,21.48,25,FAMAS,The Dreams & Nightmares Collection,Classified,0.0,1.0,Covert
FAMAS | Rapid Eye Movement (Field-Tested),FAMAS | Rapid Eye Movement,Field-Tested,1.2,1.49,3.01,285,FAMAS,The Dreams & Nightmares Collection,Classified,0.0,1.0,Covert
FAMAS | Rapid Eye Movement (Minimal Wear),FAMAS | Rapid Eye Movement,Minimal Wear,2.81,3.31,7.64,60,FAMAS,The Dreams & Nightmares Collection,Classified,0.0,1.0,Covert
FAMAS | Rapid Eye Movement (Well-Worn),FAMAS | Rapid Eye Movement,Well-Worn,1.07,1.1,2.46,43,FAMAS,The Dreams & Nightmares Collection,Classified,0.0,1.0,Covert
FAMAS | Roll Cage (Battle-Scarred),FAMAS | Roll Cage,Battle-Scarred,2.04,2.1,3.94,30,FAMAS,The Gamma 2 Collection,Covert,0.0,1.0,
FAMAS | Roll Cage (Factory New),FAMAS | Roll Cage,Factory New,17.68,21.27,35.07,14,FAMAS,The Gamma 2 Collection,Covert,0.0,1.0,
FAMAS | Roll Cage (Field-Tested),FAMAS | Roll Cage,Field-Tested,2.0,2.39,6.52,140,FAMAS,The Gamma 2 Collection,Covert,0.0,1.0,
FAMAS | Roll Cage (Minimal Wear),FAMAS | Roll Cage,Minimal Wear,4.39,5.12,12.49,63,FAMAS,The Gamma 2 Collection,Covert,0.0,1.0,
FAMAS | Roll Cage (Well-Worn),FAMAS | Roll Cage,Well-Worn,1.76,2.08,7.86,33,FAMAS,The Gamma 2 Collection,Covert,0.0,1.0,
FAMAS | Sergeant (Battle-Scarred),FAMAS | Sergeant,Battle-Scarred,2.15,2.95,4.55,42,FAMAS,The Phoenix Collection,Restricted,0.1,1.0,Classified
FAMAS | Sergeant (Field-Tested),FAMAS | Sergeant,Field-Tested,3.69,4.69,11.56,42,FAMAS,The Phoenix Collection,Restricted,0.1,1.0,Classified
FAMAS | Sergeant (Minimal Wear),FAMAS | Sergeant,Minimal Wear,8.52,9.87,20.0,7,FAMAS,The Phoenix Collection,Restricted,0.1,1.0,Classified
FAMAS | Sergeant (Well-Worn),FAMAS | Sergeant,Well-Worn,3.15,3.43,64.09,10,FAMAS,The Phoenix Collection,Restricted,0.1,1.0,Classified
FAMAS | Spitfire (Battle-Scarred),FAMAS | Spitfire,Battle-Scarred,29.98,13.97,29.98,1,FAMAS,The Alpha Collection,Restricted,0.06,0.8,Classified
FAMAS | Spitfire (Factory New),FAMAS | Spitfire,Factory New,,231.46,,0,FAMAS,The Alpha Collection,Restricted,0.06,0.8,Classified
FAMAS | Spitfire (Field-Tested),FAMAS | Spitfire,Field-Tested,17.89,18.19,26.05,12,FAMAS,The Alpha Collection,Restricted,0.06,0.8,Classified
FAMAS | Spitfire (Minimal Wear),FAMAS | Spitfire,Minimal Wear,53.54,68.8,69.51,9,FAMAS,The Alpha Collection,Restricted,0.06,0.8,Classified
FAMAS | Spitfire (Well-Worn),FAMAS | Spitfire,Well-Worn,19.96,14.42,19.96,1,FAMAS,The Alpha Collection,Restricted,0.06,0.8,Classified
FAMAS | Styx (Battle-Scarred),FAMAS | Styx,Battle-Scarred,,3.37,,0,FAMAS,The Cache Collection,Restricted,0.0,0.6,Classified
FAMAS | Styx (Factory New),FAMAS | Styx,Factory New,15.65,15.15,19.67,7,FAMAS,The Cache Collection,Restricted,0.0,0.6,Classified
FAMAS | Styx (Field-Tested),FAMAS | Styx,Field-Tested,3.56,3.43,8.87,6,FAMAS,The Cache Collection,Restricted,0.0,0.6,Classified
FAMAS | Styx (Minimal Wear),FAMAS | Styx,Minimal Wear,6.15,7.67,13.56,10,FAMAS,The Cache Collection,Restricted,0.0,0.6,Classified
FAMAS | Styx (Well-Worn),FAMAS | Styx,Well-Worn,,6.05,,0,FAMAS,The Cache Collection,Restricted,0.0,0.6,Classified
FAMAS | Sundown (Battle-Scarred),FAMAS | Sundown,Battle-Scarred,,108.84,,0,FAMAS,The St. Marc Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Sundown (Factory New),FAMAS | Sundown,Factory New,252.39,144.72,252.39,1,FAMAS,The St. Marc Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Sundown (Field-Tested),FAMAS | Sundown,Field-Tested,130.0,144.03,130.0,1,FAMAS,The St. Marc Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Sundown (Minimal Wear),FAMAS | Sundown,Minimal Wear,,145.8,,0,FAMAS,The St. Marc Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Sundown (Well-Worn),FAMAS | Sundown,Well-Worn,,112.13,,0,FAMAS,The St. Marc Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Survivor Z (Battle-Scarred),FAMAS | Survivor Z,Battle-Scarred,0.17,0.23,0.43,18,FAMAS,The Shadow Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Survivor Z (Factory New),FAMAS | Survivor Z,Factory New,0.84,0.86,3.61,78,FAMAS,The Shadow Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Survivor Z (Field-Tested),FAMAS | Survivor Z,Field-Tested,0.17,0.25,0.66,66,FAMAS,The Shadow Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Survivor Z (Minimal Wear),FAMAS | Survivor Z,Minimal Wear,0.41,0.57,1.34,66,FAMAS,The Shadow Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Survivor Z (Well-Worn),FAMAS | Survivor Z,Well-Worn,0.27,0.34,0.69,5,FAMAS,The Shadow Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Teardown (Battle-Scarred),FAMAS | Teardown,Battle-Scarred,0.3,0.33,1.15,16,FAMAS,The Safehouse Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Teardown (Factory New),FAMAS | Teardown,Factory New,1.84,2.0,5.83,98,FAMAS,The Safehouse Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Teardown (Field-Tested),FAMAS | Teardown,Field-Tested,0.45,0.48,1.83,80,FAMAS,The Safehouse Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Teardown (Minimal Wear),FAMAS | Teardown,Minimal Wear,1.11,1.21,2.17,123,FAMAS,The Safehouse Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Teardown (Well-Worn),FAMAS | Teardown,Well-Worn,0.3,0.37,1.13,22,FAMAS,The Safehouse Collection,Mil-Spec Grade,0.0,0.6,
FAMAS | Valence (Battle-Scarred),FAMAS | Valence,Battle-Scarred,2.81,2.91,5.59,21,FAMAS,The Wildfire Collection,Restricted,0.0,0.8,Classified
FAMAS | Valence (Factory New),FAMAS | Valence,Factory New,5.89,7.51,14.49,33,FAMAS,The Wildfire Collection,Restricted,0.0,0.8,Classified
FAMAS | Valence (Field-Tested),FAMAS | Valence,Field-Tested,2.44,3.13,6.12,76,FAMAS,The Wildfire Collection,Restricted,0.0,0.8,Classified
FAMAS | Valence (Minimal Wear),FAMAS | Valence,Minimal Wear,3.85,4.48,8.9,51,FAMAS,The Wildfire Collection,Restricted,0.0,0.8,Classified
FAMAS | Valence (Well-Worn),FAMAS | Valence,Well-Worn,3.59,2.77,5.09,14,FAMAS,The Wildfire Collection,Restricted,0.0,0.8,Classified
FAMAS | Waters of Nephthys (Battle-Scarred),FAMAS | Waters of Nephthys,Battle-Scarred,26.16,25.09,39.07,5,FAMAS,The Anubis Collection,Classified,0.0,0.7,Covert
FAMAS | Waters of Nephthys (Factory New),FAMAS | Waters of Nephthys,Factory New,89.61,94.54,182.66,16,FAMAS,The Anubis Collection,Classified,0.0,0.7,Covert
FAMAS | Waters of Nephthys (Field-Tested),FAMAS | Waters of Nephthys,Field-Tested,26.53,30.48,52.31,16,FAMAS,The Anubis Collection,Classified,0.0,0.7,Covert
FAMAS | Waters of Nephthys (Minimal Wear),FAMAS | Waters of Nephthys,Minimal Wear,54.7,59.83,88.97,8,FAMAS,The Anubis Collection,Classified,0.0,0.7,Covert
FAMAS | Waters of Nephthys (Well-Worn),FAMAS | Waters of Nephthys,Well-Worn,26.6,25.34,65.94,5,FAMAS,The Anubis Collection,Classified,0.0,0.7,Covert
FAMAS | Yeti Camo (Battle-Scarred),FAMAS | Yeti Camo,Battle-Scarred,3.52,1.72,3.52,1,FAMAS,The Ascent Collection,Mil-Spec Grade,0.0,0.7,
FAMAS | Yeti Camo (Factory New),FAMAS | Yeti Camo,Factory New,6.04,5.76,8.62,61,FAMAS,The Ascent Collection,Mil-Spec Grade,0.0,0.7,
FAMAS | Yeti Camo (Field-Tested),FAMAS | Yeti Camo,Field-Tested,3.66,2.63,3.91,6,FAMAS,The Ascent Collection,Mil-Spec Grade,0.0,0.7,
FAMAS | Yeti Camo (Minimal Wear),FAMAS | Yeti Camo,Minimal Wear,4.23,4.42,5.93,5,FAMAS,The Ascent Collection,Mil-Spec Grade,0.0,0.7,
FAMAS | Yeti Camo (Well-Worn),FAMAS | Yeti Camo,Well-Worn,,1.98,,0,FAMAS,The Ascent Collection,Mil-Spec Grade,0.0,0.7,
FAMAS | ZX Spectron (Battle-Scarred),FAMAS | ZX Spectron,Battle-Scarred,0.98,1.25,4.4,39,FAMAS,The Operation Riptide Collection,Restricted,0.0,1.0,Classified
FAMAS | ZX Spectron (Factory New),FAMAS | ZX Spectron,Factory New,7.14,8.96,16.49,31,FAMAS,The Operation Riptide Collection,Restricted,0.0,1.0,Classified
FAMAS | ZX Spectron (Field-Tested),FAMAS | ZX Spectron,Field-Tested,1.6,1.88,3.72,99,FAMAS,The Operation Riptide Collection,Restricted,0.0,1.0,Classified
FAMAS | ZX Spectron (Minimal Wear),FAMAS | ZX Spectron,Minimal Wear,2.87,3.62,5.11,125,FAMAS,The Operation Riptide Collection,Restricted,0.0,1.0,Classified
FAMAS | ZX Spectron (Well-Worn),FAMAS | ZX Spectron,Well-Worn,1.02,1.35,2.85,44,FAMAS,The Operation Riptide Collection,Restricted,0.0,1.0,Classified
Five-SeveN | Angry Mob (Battle-Scarred),Five-SeveN | Angry Mob,Battle-Scarred,3.07,3.28,98.19,15,Five-SeveN,The Prisma Collection,Covert,0.0,0.7,
Five-SeveN | Angry Mob (Factory New),Five-SeveN | Angry Mob,Factory New,18.13,22.41,25.27,13,Five-SeveN,The Prisma Collection,Covert,0.0,0.7,
Five-SeveN | Angry Mob (Field-Tested),Five-SeveN | Angry Mob,Field-Tested,3.38,3.47,14.66,26,Five-SeveN,The Prisma Collection,Covert,0.0,0.7,
Five-SeveN | Angry Mob (Minimal Wear),Five-SeveN | Angry Mob,Minimal Wear,6.76,7.2,13.14,28,Five-SeveN,The Prisma Collection,Covert,0.0,0.7,
Five-SeveN | Angry Mob (Well-Worn),Five-SeveN | Angry Mob,Well-Worn,3.0,3.85,5.73,9,Five-SeveN,The Prisma Collection,Covert,0.0,0.7,
Five-SeveN | Anodized Gunmetal (Factory New),Five-SeveN | Anodized Gunmetal,Factory New,12.11,12.9,25.07,19,Five-SeveN,The Alpha Collection,Consumer Grade,0.0,0.08,
Five-SeveN | Anodized Gunmetal (Minimal Wear),Five-SeveN | Anodized Gunmetal,Minimal Wear,14.64,13.43,16.62,2,Five-SeveN,The Alpha Collection,Consumer Grade,0.0,0.08,
Five-SeveN | Autumn Thicket (Battle-Scarred),Five-SeveN | Autumn Thicket,Battle-Scarred,0.02,0.03,0.13,4,Five-SeveN,The Radiant Collection,Consumer Grade,0.0,0.636986,
Five-SeveN | Autumn Thicket (Factory New),Five-SeveN | Autumn Thicket,Factory New,0.16,0.07,0.79,146,Five-SeveN,The Radiant Collection,Consumer Grade,0.0,0.636986,
Five-SeveN | Autumn Thicket (Field-Tested),Five-SeveN | Autumn Thicket,Field-Tested,0.12,0.04,0.48,56,Five-SeveN,The Radiant Collection,Consumer Grade,0.0,0.636986,
